Elapsedmins, Nodes
1,88
1,13
1,79
1,88
1,86
1,91
1,82
1,90
1,82
1,95
1,88
1,86
1,76
1,83
1,96
1,78
1,86
1,82
5,951
1,87
2,90
1,84
1,35
2,92
1,77
1,85
2,88
2,91
2,86
1,78
1,78
1,88
2,82
1,88
2,82
1,78
1,71
2,94
1,80
1,88
1,12
1,79
1,88
2,86
2,91
1,82
2,90
2,82
1,95
2,88
1,86
1,76
1,82
2,97
1,78
1,87
1,83
58,14
2,186
23,186
2,184
7,184
7,184
58,6
1,6
32,182
3,1
2,1
2,1
3,1
1,1
2,1
2,1
3,1
2,1
2,1
3,1
1,1
2,1
2,1
3,1
2,1
2,1
3,1
11,2
4,8
3,128
2,32
4,2
4,2
4,2
1,77
1,84
1,88
2,242
4,370
3,512
65,1K
62,1K
61,1K
63,1K
3,512
2,1K
61,1K
3,512
3,512
3,512
1,1
11,64
11,64
4,1
15,1K
60,1K
15,200
14,200
13,10
10,200
13,200
11,64
78,16
11,64
11,64
12,64
11,64
12,64
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
2,1
1,1
2,2
3,1
2,89
2,99
1,39
2,82
2,96
2,100
2,102
1,77
2,100
2,78
2,93
2,96
2,97
2,94
2,91
116,16
1,184
1,184
1,184
1,183
4,1076
77,16
5,1076
4,1076
1,1
1,1
1,1
1,1
3,29
3,29
3,29
3,29
1,1
1,1
1,28
1,28
1,28
1,28
19,27
19,27
19,27
19,27
41,26
41,26
41,26
41,26
1,244
8,244
8,324
7,180
9,413
1,1
1,1
2,150
1,1
1,1
1,1
2,4
2,4
4,2
4,2
4,2
4,2
23,256
32,256
18,2
1,1
1,1
1,1
1,1
1,1
2,512
2,512
2,512
1,1
1,1
76,16
2,16
1,16
1,16
1,1
14,16
1,64
15,16
43,512
6,1
18,1
1,1
7,16
4,1
5,4
4,16
4,1
4,4
5,16
1,1
3,1
2,1
4,1
3,1
4,1
5,1
7,2
2,1
6,1
3,1
3,8
3,64
129,1
4,2
4,2
5,16
6,16
5,16
6,16
5,16
6,4
5,2
6,16
5,16
2,2
2,1
5,8
4,1
10,32
8,1
23,128
14,1
2,2
11,1
3,88
1,29
4,103
4,90
4,102
4,100
4,98
4,90
4,86
4,97
4,97
4,102
4,104
4,95
4,94
4,94
5,108
4,101
31,8
5,16
2,64
1,4
18,1
1,1
11,8
7,8
10,8
9,8
10,8
7,4
2,30
3,24
7,23
20,22
7,21
63,20
1,19
96,18
13,17
10,4
8,128
18,1
1,1
5,16
4,1
5,4
4,1
5,4
6,16
1,1
3,1
2,1
4,1
3,1
4,1
5,1
1,1
2,1
16,2
2,1
3,16
3,16
58,4
3,32
1,8
55,8
4,16
17,128
26,76
8,1002
14,1065
93,1K
45,512
32,256
63,1K
71,1K
9,4
10,16
116,1K
9,1
10,2
9,4
10,8
10,16
9,8
9,8
9,8
9,8
6,4
6,4
2,32
1,2K
111,2K
51,4
130,512
3,40
7,40
27,512
32,3K
86,3074
33,3071
23,3080
5,1
1,512
2,2K
11,1
191,3K
47,3K
8,128
2,64
1,256
2,128
2,256
6,32
6,16
2,8
6,1
2,32
2,32
2,32
2,512
2,512
7,1
1,1
1,1
1,1
1,1
1,1
2,8
2,8
2,8
2,8
2,8
1,16
1,16
1,16
2,16
1,16
2,32
2,32
2,32
2,64
2,64
2,64
2,128
2,256
2,512
2,128
2,256
2,128
4,1K
2,512
2,512
1,1
16,200
13,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
13,200
14,200
14,200
14,200
16,200
15,200
14,200
14,200
14,200
14,200
14,166
14,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
13,200
14,200
14,200
14,200
5,200
5,200
5,200
17,200
14,200
14,200
14,200
14,200
9,199
14,200
14,200
14,200
14,164
14,200
14,200
14,200
14,200
14,199
14,201
14,200
14,200
14,199
14,197
17,200
14,200
14,200
15,200
15,200
14,200
14,200
14,200
14,200
14,200
3,200
3,200
3,200
14,200
14,200
14,161
12,199
13,201
14,200
13,200
14,198
13,197
14,200
14,200
14,200
15,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
17,160
14,200
13,199
14,201
