JobID,UID,ReqNodes,TimelimitRaw,ElapsedRaw
261450,11685,1K,60,676
261451,11685,1K,60,240
261452,11685,1K,60,673
261453,11685,1K,60,314
261454,11685,5K,120,457
261455,11685,1K,120,1163
261456,11685,1K,60,610
261457,11685,1K,120,1059
261458,11685,2K,120,1175
261459,58707,1K,360,1328
261460,58707,1K,360,4407
261461,58707,1K,360,12223
261462,58707,1K,360,2316
261463,58707,1K,360,9656
261464,58707,1K,360,1207
261465,58707,1K,360,4414
261466,58707,1K,360,2631
261467,11685,5K,120,742
261468,11685,1K,60,769
261469,11685,1K,120,1039
261470,11685,1K,120,950
261471,11685,2K,120,1229
261472,58707,1K,360,3296
261473,58707,1K,360,5843
261474,58707,1K,360,8536
261475,58707,1K,360,1579
261476,11685,5K,120,741
261477,11685,1K,60,243
261478,11685,1K,120,638
261479,11685,1K,120,647
261480,11685,2K,120,745
261481,11685,1K,60,3613
261482,11685,1K,120,646
261483,11685,1K,120,669
261484,7391,1,30,450
261485,11685,2K,120,760
261486,11685,1K,120,675
261487,11685,1K,120,669
261488,2435,512,90,1429
261489,11685,2K,120,924
261490,5352,1,50,89
261491,11685,1K,120,734
261492,11685,1K,120,735
261493,11685,2K,120,1301
261494,11685,1K,120,1100
261495,11685,1K,120,991
261496,2435,512,90,756
261497,2435,512,90,0
261498,6432,1,15,107
261499,6432,1,15,23
261500,2435,512,210,12608
261501,6432,1,15,668
261502,6432,1,15,738
261503,5352,1,50,1962
261504,58732,8,60,3605
261505,11685,1K,120,983
261506,11685,2K,120,1496
261507,6432,1,15,207
261508,6432,1,15,423
261509,6432,1,15,367
261510,58707,1K,360,1317
261511,11685,5K,120,774
261512,58707,900,360,8640
261513,6432,1,15,490
261514,6432,1,15,454
261515,5352,1,50,363
261516,11685,1K,120,959
261517,11685,1K,120,749
261518,11685,2K,120,1073
261519,11685,1K,120,956
261520,11685,5K,120,0
261521,11685,1K,120,0
261522,11685,1K,120,742
261523,11685,2K,120,0
261524,11685,2400,240,1895
261525,11685,1K,120,132
261526,6432,1,30,1211
261527,6432,1,15,65
261528,6432,16,15,902
261529,6432,1,15,263
261530,6432,4,15,308
261531,6432,1,15,111
261532,6432,1,15,208
261533,6432,1,15,184
261534,6432,1,15,279
261535,6432,1,15,211
261536,6432,1,15,316
261537,6432,1,15,323
261538,11685,1K,120,119
261539,11685,1K,120,155
261540,11685,1K,120,126
261541,11685,1K,120,126
261542,11685,1K,120,742
261543,11685,1K,120,126
261544,11685,1K,120,125
261545,16508,2,10,622
261546,11685,1K,120,126
261547,11685,1K,120,126
261548,11685,1K,120,744
261549,11685,2400,240,2200
261550,11685,1K,120,746
